image,regime,filter,mse,psnr,ssim,epi,fom,iou,time_s
bbbc005,mild,Noisy_Baseline,392.4952708358941,22.19245932556699,0.513854122493249,0.9735306618850808,0.5535942841005049,0.0,0.0
bbbc005,mild,Box_3x3,60.96714219877425,30.279845226836294,0.7303130087369744,0.9867192625348634,0.5228987759470238,0.8339465293107677,0.0009373750071972609
bbbc005,mild,Median_3x3,100.32547337408758,28.11669143289155,0.9150713183906631,0.9874777155145048,0.571430474355784,0.6390669059215586,0.005722666857764125
bbbc005,mild,AVGF_Custom,165.2192685940218,25.950196656071057,0.6286572652977056,0.9816309830897656,0.4429600666406253,0.4607115433836703,0.00888408301398158
bbbc005,mild,Sobel_Sharpen,416.0756809951018,21.939080281998894,0.4088576808101256,0.9690726218709876,0.5182530853517653,0.022827496757457846,0.001373959006741643
bbbc005,mild,Unsharp_Mask,979.0822325020473,18.222611914119952,0.2522328286525898,0.9557188716500027,0.5492855328873574,0.0,0.0004902500659227371
bbbc005,mild,NGKCS_Custom,469.9416441813193,21.410364288545722,0.194736011700396,0.9512048941216107,0.5999340802300281,0.0,0.011707958998158574
bbbc005,heavy,Noisy_Baseline,209.31249708957358,24.922852020227005,0.2599243159408555,0.9681903275157789,0.6159182531667902,0.6068332483426823,0.0
bbbc005,heavy,Box_3x3,59.2465734443831,30.404171231010263,0.4254673293823278,0.975956467737962,0.6089314631270687,0.8760207869339273,0.0006263749673962593
bbbc005,heavy,Median_3x3,46.27702479825592,31.47714930969245,0.6658538222110079,0.9845025775452017,0.5802030856315628,0.8593279839518556,0.005510916002094746
bbbc005,heavy,AVGF_Custom,104.73096872437918,27.930052402453015,0.3449997682248063,0.9739241784748929,0.6192755818812875,0.8156171284634761,0.00802237493917346
bbbc005,heavy,Sobel_Sharpen,308.6021420687191,23.236814246061215,0.1983392766136574,0.955948306080126,0.6159809207477958,0.7122549019607843,0.0014241670724004507
bbbc005,heavy,Unsharp_Mask,767.6753550758269,19.279027623300696,0.11360397989463837,0.9427112086634791,0.6049928345386439,0.0,0.0005276671145111322
bbbc005,heavy,NGKCS_Custom,272.85821859895765,23.771433214277945,0.19123274647207028,0.9547910565224617,0.6093733471888624,0.5844620495783287,0.010942624881863594
bbbc005,realistic,Noisy_Baseline,206.71290967967565,24.9771276074004,0.44682619511342814,0.9754407415616808,0.619029148058203,0.3322182192485847,0.0
bbbc005,realistic,Box_3x3,43.40250174722745,31.755655976295408,0.6256169870490169,0.984721450458446,0.5963355895801545,0.8640824337585868,0.0006171250715851784
bbbc005,realistic,Median_3x3,48.9308950297806,31.234972010462556,0.8601944297562604,0.9882216261145359,0.5703039721976585,0.841079460269865,0.0056818751618266106
bbbc005,realistic,AVGF_Custom,92.63112675469822,28.463234140747456,0.5551151364119461,0.9817542763717894,0.6228772495528611,0.7505020080321285,0.007906458107754588
bbbc005,realistic,Sobel_Sharpen,279.73393335927403,23.663352088446036,0.32845798375206753,0.9676403173069505,0.6183680846934659,0.595344229816741,0.0014886248391121626
bbbc005,realistic,Unsharp_Mask,666.8428351027552,19.890568716146785,0.18455085637327082,0.9553206841651577,0.6085611604766821,0.0,0.0005152500234544277
bbbc005,realistic,NGKCS_Custom,267.45863715736135,23.858237335510143,0.23781849693084767,0.9581980802288347,0.6057112476268958,0.2151538660460305,0.011016791919246316
fluo_gowt1,mild,Noisy_Baseline,260.83215261164736,23.96719235306749,0.42594706118461434,0.9752131644535782,0.5740356178801455,,0.0
fluo_gowt1,mild,Box_3x3,34.11534720947054,32.801305651907285,0.7121728449167303,0.9877978949080118,0.5418120822262483,,0.0006937501020729542
fluo_gowt1,mild,Median_3x3,59.87820223744087,30.358116081093822,0.8108729664800935,0.9876451420531167,0.5618201331119104,,0.005359458038583398
fluo_gowt1,mild,AVGF_Custom,108.16945695689046,27.7897571144332,0.5626328289465551,0.983488283979571,0.48638641552901135,,0.007974375039339066
fluo_gowt1,mild,Sobel_Sharpen,337.21744237557004,22.851703307053942,0.3090916505954578,0.9696726655386101,0.5415203944239447,,0.001380999805405736
fluo_gowt1,mild,Unsharp_Mask,929.2797586643123,18.44933883307021,0.18415208229424956,0.9569323897160077,0.5725634747722251,,0.0005254168063402176
fluo_gowt1,mild,NGKCS_Custom,326.37003642433183,22.99370080923666,0.16404568261885386,0.9578005881836058,0.5716348397982784,,0.011065500089898705
fluo_gowt1,heavy,Noisy_Baseline,165.6924237841507,25.937777099257,0.23134218845038465,0.9688510960547352,0.5872694667925472,,0.0
fluo_gowt1,heavy,Box_3x3,44.91744874736223,31.606652799394045,0.4681097866817516,0.9780907881861933,0.596188601902536,,0.0006860420107841492
fluo_gowt1,heavy,Median_3x3,32.44027337006706,33.01995855568884,0.658663917141421,0.985612814678851,0.5876464314577988,,0.005636207992210984
fluo_gowt1,heavy,AVGF_Custom,84.514094040672,28.86151220513719,0.34516126242358197,0.9755089697665352,0.5904044259948479,,0.00809658388607204
fluo_gowt1,heavy,Sobel_Sharpen,340.06387776019596,22.81519858081262,0.13136844437276224,0.9467484575423717,0.5842241532080489,,0.0014082090929150581
fluo_gowt1,heavy,Unsharp_Mask,631.9608433019824,20.123901909157542,0.06974345934179027,0.9459314303271628,0.5809309426124544,,0.0005272089038044214
fluo_gowt1,heavy,NGKCS_Custom,223.55569291999097,24.63694627069776,0.16175733780634177,0.9583085179313099,0.5844951423944994,,0.01090329117141664
fluo_gowt1,realistic,Noisy_Baseline,127.40437509932713,27.07896018827209,0.40266544559890144,0.9767160988864951,0.5976173496662317,,0.0
fluo_gowt1,realistic,Box_3x3,24.267632257677583,34.28052955676807,0.6510966249826231,0.9862721355901002,0.60698656944848,,0.0006609999109059572
fluo_gowt1,realistic,Median_3x3,24.062412346712886,34.317411960374955,0.8245953908270046,0.9893875228677123,0.5745890931942716,,0.005588499829173088
fluo_gowt1,realistic,AVGF_Custom,57.062886467616146,30.567266246500445,0.5371162168351792,0.9833188314811798,0.6006778065208705,,0.00812858296558261
fluo_gowt1,realistic,Sobel_Sharpen,216.06635759824582,24.78493210120041,0.24813354968771398,0.9660568375244502,0.5981551436218869,,0.0014122920110821724
fluo_gowt1,realistic,Unsharp_Mask,505.28675248744446,21.095424487310474,0.13743096505192975,0.9588230138853404,0.5890640972505787,,0.0005268328823149204
fluo_gowt1,realistic,NGKCS_Custom,178.19693325573678,25.621801352499475,0.22155136900632055,0.9638648200958987,0.5866713587311199,,0.010898458072915673
bbbc034,mild,Noisy_Baseline,3389.316612717566,12.829682205541332,0.17662598704906948,0.8135623429387997,0.5597712980436561,,0.0
bbbc034,mild,Box_3x3,487.8580892010597,21.247868504222154,0.5011482769145387,0.9341553794687868,0.5819616639206245,,0.0006748340092599392
bbbc034,mild,Median_3x3,946.1836416262469,18.37104925518148,0.36203386134158055,0.9006508193699704,0.5567325195885159,,0.00631987489759922
bbbc034,mild,AVGF_Custom,1427.9181701619937,16.583770408684963,0.297218648871396,0.8808935592218337,0.567899373554913,,0.008087167050689459
bbbc034,mild,Sobel_Sharpen,3480.8291780993613,12.713976500884115,0.18182670772759907,0.8147126399050045,0.5594473608620374,,0.0013697079848498106
bbbc034,mild,Unsharp_Mask,7890.685924738949,9.15965603491056,0.08725709987464197,0.7049983636017122,0.5273830537750394,,0.0005238340236246586
bbbc034,mild,NGKCS_Custom,3374.5787079169013,12.848607988852848,0.17613186285497268,0.8151258379977514,0.5584365063941317,,0.011046791914850473
bbbc034,heavy,Noisy_Baseline,970.6994630698895,18.25995571468213,0.39151644040880923,0.9029285663658635,0.6500223717608485,,0.0
bbbc034,heavy,Box_3x3,184.04100154023746,25.481657728638552,0.7085057990601699,0.9602435127535028,0.6807886321498157,,0.0006760829128324986
bbbc034,heavy,Median_3x3,241.28009938629953,24.305588577868487,0.642987496307745,0.9526507154694458,0.6605456779906677,,0.006262667011469603
bbbc034,heavy,AVGF_Custom,412.28658000721646,21.978811621899254,0.5522965290497073,0.9371977668664285,0.6608500741989769,,0.008052375167608261
bbbc034,heavy,Sobel_Sharpen,1159.6405067742935,17.487569838147316,0.38790286214656367,0.8912995928403815,0.6454340917128066,,0.0014151250943541527
bbbc034,heavy,Unsharp_Mask,3764.0537191367384,12.374245479835253,0.19317058548964036,0.8021284767451523,0.6051372075253455,,0.0005530831404030323
bbbc034,heavy,NGKCS_Custom,983.0889524789363,18.20487545148737,0.3894023951839536,0.902402358950914,0.6470905766445307,,0.010974999982863665
bbbc034,realistic,Noisy_Baseline,1531.0491007917492,16.2809124210892,0.30824865588238043,0.8766671801542062,0.6217340678828293,,0.0
bbbc034,realistic,Box_3x3,249.50225409774464,24.16005887310145,0.650929026953056,0.9536148354886743,0.6526931308089455,,0.0006764170248061419
bbbc034,realistic,Median_3x3,356.0183821885643,22.616079385215635,0.5721564782209055,0.9426986553591054,0.6316826609419889,,0.006312167039141059
bbbc034,realistic,AVGF_Custom,643.4678238346685,20.04553525681001,0.46368012350203364,0.9206989467879877,0.6319723792284189,,0.007954082917422056
bbbc034,realistic,Sobel_Sharpen,1712.8624694049688,15.793578672406062,0.30933071528110084,0.8686333720434168,0.6172530484553002,,0.001374624902382493
bbbc034,realistic,Unsharp_Mask,5052.877184066789,11.095416185232683,0.14757590238735444,0.767136034147905,0.5755428619242416,,0.000542790861800313
bbbc034,realistic,NGKCS_Custom,1538.0019228049389,16.261234824486277,0.30658856388681865,0.8768070851469709,0.6185456169006942,,0.010839167051017284
